,Restaurant Name,URL,no of reviews
155,The Allis,https://www.yelp.com/biz/the-allis-chicago-3,(807 reviews)
156,Takito Kitchen,https://www.yelp.com/biz/takito-kitchen-chicago,(720 reviews)
157,The Duck Inn,https://www.yelp.com/biz/the-duck-inn-chicago,(567 reviews)
158,Torchio Pasta Bar,https://www.yelp.com/biz/torchio-pasta-bar-chicago,(332 reviews)
159,Cafe Robey,https://www.yelp.com/biz/cafe-robey-chicago,(241 reviews)
160,The Gundis,https://www.yelp.com/biz/the-gundis-chicago,(564 reviews)
161,"Travelle at The Langham, Chicago",https://www.yelp.com/biz/travelle-at-the-langham-chicago-chicago-4,(343 reviews)
162,Xoco,https://www.yelp.com/biz/xoco-chicago,"(3,900 reviews)"
163,Heritage Restaurant & Caviar Bar,https://www.yelp.com/biz/heritage-restaurant-and-caviar-bar-chicago,(222 reviews)
164,Apolonia,https://www.yelp.com/biz/apolonia-chicago,(217 reviews)
165,MingHin Cuisine,https://www.yelp.com/biz/minghin-cuisine-chicago-7,"(1,041 reviews)"
166,Cedar Palace,https://www.yelp.com/biz/cedar-palace-chicago-2,(404 reviews)
167,Roka Akor - Chicago,https://www.yelp.com/biz/roka-akor-chicago-chicago,"(1,433 reviews)"
168,Next,https://www.yelp.com/biz/next-chicago-2,(789 reviews)
169,Bandit,https://www.yelp.com/biz/bandit-chicago,(531 reviews)
170,Tryzub Ukrainian Kitchen,https://www.yelp.com/biz/tryzub-ukrainian-kitchen-chicago,(297 reviews)
171,Crisp,https://www.yelp.com/biz/crisp-chicago,"(3,536 reviews)"
172,The VIG Chicago,https://www.yelp.com/biz/the-vig-chicago-chicago-2,(776 reviews)
173,El Che Steakhouse & Bar,https://www.yelp.com/biz/el-che-steakhouse-and-bar-chicago,(359 reviews)
174,Homestead on the Roof,https://www.yelp.com/biz/homestead-on-the-roof-chicago,(378 reviews)
175,En Hakkore 2.0,https://www.yelp.com/biz/en-hakkore-2-0-chicago-15,(568 reviews)
176,Uncle Mike’s Place,https://www.yelp.com/biz/uncle-mikes-place-chicago,(839 reviews)
177,etta - River North,https://www.yelp.com/biz/etta-river-north-chicago-2,(520 reviews)
178,Chef’s Special Cocktail Bar,https://www.yelp.com/biz/chef-s-special-cocktail-bar-chicago,(201 reviews)
179,Art Institute of Chicago,https://www.yelp.com/biz/art-institute-of-chicago-chicago-3,"(2,202 reviews)"
