,Restaurant Name,URL,no of reviews
217,Rollin Smoke BBQ,https://www.yelp.com/biz/rollin-smoke-bbq-austin,(326 reviews)
218,FoodHeads,https://www.yelp.com/biz/foodheads-austin-2,(633 reviews)
219,Lima Criolla,https://www.yelp.com/biz/lima-criolla-austin,(377 reviews)
220,J Prime Steakhouse - Austin,https://www.yelp.com/biz/j-prime-steakhouse-austin-austin,(123 reviews)
221,Troy ATX,https://www.yelp.com/biz/troy-atx-austin-4,(571 reviews)
222,Phoebe’s Diner,https://www.yelp.com/biz/phoebes-diner-austin-3,(519 reviews)
223,Taco Joint,https://www.yelp.com/biz/taco-joint-austin-2,(486 reviews)
224,Love Supreme,https://www.yelp.com/biz/love-supreme-austin,(187 reviews)
225,Joann’s Fine Foods,https://www.yelp.com/biz/joann-s-fine-foods-austin,(326 reviews)
226,Clay Pit,https://www.yelp.com/biz/clay-pit-austin,"(1,983 reviews)"
227,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-rainey-st-austin,(482 reviews)
228,More Home Slice Pizza,https://www.yelp.com/biz/more-home-slice-pizza-austin-3,(554 reviews)
229,Taco Flats - Burnet,https://www.yelp.com/biz/taco-flats-burnet-austin,(512 reviews)
230,Devil May Care,https://www.yelp.com/biz/devil-may-care-austin,(178 reviews)
231,Casa do Brasil,https://www.yelp.com/biz/casa-do-brasil-austin,(84 reviews)
232,Yard House,https://www.yelp.com/biz/yard-house-austin-3,(853 reviews)
233,Smash ATX,https://www.yelp.com/biz/smash-atx-austin,(67 reviews)
234,El Naranjo South Lamar,https://www.yelp.com/biz/el-naranjo-south-lamar-austin,(167 reviews)
235,Jewboy Sub Shop,https://www.yelp.com/biz/jewboy-sub-shop-austin,(236 reviews)
236,Workhorse Bar,https://www.yelp.com/biz/workhorse-bar-austin,(330 reviews)
237,DeSano Pizzeria Napoletana,https://www.yelp.com/biz/desano-pizzeria-napoletana-austin-4,(336 reviews)
238,Acre 41,https://www.yelp.com/biz/acre-41-austin,(181 reviews)
239,Torchy’s Tacos,https://www.yelp.com/biz/torchys-tacos-austin-4,(972 reviews)
